signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,init_stop,t1,t2,t1_hit,t1_dist_r,t2_dist_r,total_r,net_return_pct,holding_days,symbol
2017-10-24 03:45:00+00:00,2017-10-25 03:45:00+00:00,1222.9000244140625,2017-11-07 03:45:00+00:00,1143.7546936035155,stop,1143.7546936035155,1262.0,,False,0.4940275716268408,,-1.0,-6.471937953265517,9,ASIANPAINT
2017-12-26 03:45:00+00:00,2017-12-27 03:45:00+00:00,1150.0,2017-12-29 03:45:00+00:00,1145.0999755859375,stop_gap,1098.8342869349888,1153.5,1176.349976,True,0.0684051836735451,0.5149928423067153,-0.013681275313056102,-0.06087062669837273,2,ASIANPAINT
2018-03-08 03:45:00+00:00,2018-03-09 03:45:00+00:00,1133.0,2018-03-15 03:45:00+00:00,1157.349976,t2,1093.423597063337,1150.0,1157.349976,True,0.4295488912220325,0.6152650112990052,0.5224069512605188,1.8248003530450196,4,ASIANPAINT
2018-07-09 03:45:00+00:00,2018-07-10 03:45:00+00:00,1362.800048828125,2018-09-21 03:45:00+00:00,1237.3874529157365,stop,1237.3874529157365,,,False,,,-1.0,-9.202567612191615,49,ASIANPAINT
2019-09-20 03:45:00+00:00,2019-09-23 03:45:00+00:00,1697.8499755859375,2020-03-19 03:45:00+00:00,1497.9506905691965,stop,1497.9506905691965,,,False,,,-1.0,-11.773671872731562,121,ASIANPAINT
2020-12-01 03:45:00+00:00,2020-12-02 03:45:00+00:00,2241.0,2020-12-03 03:45:00+00:00,2340.0,t2,2152.4000505719864,2242.850098,2244.600098,True,0.02088147918755949,0.040633183463890415,1.1173821276324354,4.417670682730912,1,ASIANPAINT
2021-03-26 03:45:00+00:00,2021-03-30 03:45:00+00:00,2539.10009765625,2021-04-01 03:45:00+00:00,2532.0,stop_gap,2348.421883719308,2555.0,2816.949951,True,0.08338604613219293,1.457166225794605,0.08351728511091955,0.6271878281802312,2,ASIANPAINT
2021-07-20 03:45:00+00:00,2021-07-22 03:45:00+00:00,3130.0,2021-07-28 03:45:00+00:00,2990.876787458147,stop,2990.876787458147,,,False,,,-1.0,-4.444831071624689,4,ASIANPAINT
2021-11-03 03:45:00+00:00,2021-11-04 12:45:00+00:00,3179.0,2022-01-05 03:45:00+00:00,3505.0,t2,2846.9464285714284,3358.899902,3505.0,True,0.5417797532670073,0.9817692928206503,0.7617745230438289,7.956903145643279,42,ASIANPAINT
2022-02-15 03:45:00+00:00,2022-02-16 03:45:00+00:00,3280.0,2022-02-22 03:45:00+00:00,3120.0,stop_gap,3135.6565272739954,3590.0,,False,2.1476551322029476,,-1.108467165007973,-4.87804878048782,4,ASIANPAINT
2022-09-28 03:45:00+00:00,2022-09-29 03:45:00+00:00,3563.449951171875,2022-10-12 03:45:00+00:00,3222.866122000558,stop,3222.866122000558,3590.0,,False,0.07795451972198614,,-1.0,-9.557699247587658,8,ASIANPAINT
2022-12-07 03:45:00+00:00,2022-12-08 03:45:00+00:00,3230.0,2022-12-20 03:45:00+00:00,3028.691782924107,stop,3028.691782924107,3582.899902,3590.0,False,1.7530327729590747,1.7883025602689646,-1.0,-6.2324525410493266,8,ASIANPAINT
2023-09-25 03:45:00+00:00,2023-09-26 03:45:00+00:00,3323.0,2023-09-28 03:45:00+00:00,3190.168927873884,stop,3190.168927873884,3385.0,3568.0,False,0.46675825925077485,1.844447959942578,-1.0,-3.9973238677735723,2,ASIANPAINT
2023-12-06 03:45:00+00:00,2023-12-07 03:45:00+00:00,3284.0,2023-12-20 03:45:00+00:00,3284.0,stop,3103.5758143833705,3334.800049,3568.0,True,0.28155897628902893,1.5740683491483305,0.14077948814451446,0.7734477618757563,9,ASIANPAINT
2024-02-15 03:45:00+00:00,2024-02-16 03:45:00+00:00,3035.0,2024-02-26 03:45:00+00:00,2897.668474469866,stop,2897.668474469866,3320.0,3411.800049,False,2.075270036503481,2.743725794535941,-1.0,-4.524926706099974,6,ASIANPAINT
2025-06-27 03:45:00+00:00,2025-06-30 03:45:00+00:00,2362.0,2025-07-02 03:45:00+00:00,2340.0,stop_gap,2250.1927629743304,2378.899902,2475.0,True,0.15115212976884584,1.0106680301388415,-0.01565193851984932,-0.07408975444540555,2,ASIANPAINT
2025-10-15 03:45:00+00:00,2025-10-16 03:45:00+00:00,2377.0,2025-11-06 03:45:00+00:00,2602.0,t2,2315.952144949777,2568.300049,2602.0,True,3.133608033281771,3.6856331776914426,3.409620605486607,8.756837379049198,13,ASIANPAINT
2026-01-06 03:45:00+00:00,2026-01-07 03:45:00+00:00,2845.800048828125,2026-01-19 03:45:00+00:00,2730.500003487723,stop,2730.500003487723,2985.699951,3028.0,False,1.213355135801088,1.5802244538062709,-1.0,-4.051586315345013,8,ASIANPAINT
2017-09-14 03:45:00+00:00,2017-09-15 03:45:00+00:00,517.9500122070312,2017-09-19 03:45:00+00:00,517.9500122070312,stop,490.58892844063894,524.049988,547.5,True,0.22294350052249576,1.0800006332082897,0.11147175026124788,0.5888575778747684,2,AXISBANK
2017-12-19 03:45:00+00:00,2017-12-20 03:45:00+00:00,553.5,2017-12-29 03:45:00+00:00,565.900024,t2,528.0285474504743,564.549988,565.900024,True,0.43381852599551707,0.486820450301761,0.46031948814863904,2.118338934056019,6,AXISBANK
2018-04-10 03:45:00+00:00,2018-04-11 03:45:00+00:00,550.0999755859375,2018-04-16 03:45:00+00:00,541.5,stop_gap,488.6989286150251,554.400024,627.599976,True,0.07003216762899173,1.262193467983969,-0.035015096517099956,-0.3908314272596525,3,AXISBANK
2018-07-09 03:45:00+00:00,2018-07-10 03:45:00+00:00,527.9500122070312,2018-07-27 03:45:00+00:00,551.799988,t2,497.5903566632952,550.0,551.799988,True,0.7262924232194794,0.7855812381866627,0.755936830703071,4.346999007922969,13,AXISBANK
2018-11-02 03:45:00+00:00,2018-11-05 03:30:00+00:00,628.9000244140625,2019-01-17 03:45:00+00:00,677.950012,t2,532.3446306501116,667.650024,677.950012,True,0.4013240283672782,0.5079984211534584,0.4546612247603683,6.9804407507916055,50,AXISBANK
2019-05-20 03:45:00+00:00,2019-05-21 03:45:00+00:00,789.7000122070312,2019-07-24 03:45:00+00:00,714.394975062779,stop,714.394975062779,,,False,,,-1.0,-9.535904264936224,45,AXISBANK
2021-01-05 03:45:00+00:00,2021-01-06 03:45:00+00:00,662.0,2021-02-05 03:45:00+00:00,754.0,t2,566.6400242396763,739.450012,754.0,True,0.8121857349739865,0.9647653459060374,0.888475540440012,12.798339274924464,21,AXISBANK
2021-04-26 03:45:00+00:00,2021-04-27 03:45:00+00:00,691.0999755859375,2021-05-12 03:45:00+00:00,691.0999755859375,stop,624.0489532470704,717.0,760.799988,True,0.3862733707946636,1.0395070795760233,0.1931366853973318,1.8738261705264492,11,AXISBANK
2021-08-30 03:45:00+00:00,2021-08-31 03:45:00+00:00,784.9000244140625,2021-09-07 03:45:00+00:00,784.9000244140625,stop,729.9089285714285,819.0,823.400024,True,0.620099946426239,0.7001133364592622,0.3100499732131195,2.172249619395372,5,AXISBANK
2021-10-12 03:45:00+00:00,2021-10-13 03:45:00+00:00,799.9500122070312,2021-10-18 03:45:00+00:00,820.0,t2,752.2849993024554,816.950012,819.0,True,0.3566557262242293,0.39966395962393503,0.42064370848085814,2.5064050861942633,2,AXISBANK
2022-11-25 03:45:00+00:00,2022-11-28 03:45:00+00:00,887.7000122070312,2023-01-25 03:45:00+00:00,887.7000122070312,stop,839.7732138497489,919.950012,,True,0.6729011930351169,,0.33645059651755843,1.8164920214875035,42,AXISBANK
2023-04-03 03:45:00+00:00,2023-04-05 03:45:00+00:00,871.0,2023-04-17 03:45:00+00:00,882.0,t2,824.3692722865513,874.25,874.299988,True,0.06969653186567523,0.07076852886102918,0.23589595400690078,1.2629161882893314,6,AXISBANK
2023-08-23 03:45:00+00:00,2023-08-24 03:45:00+00:00,984.7999877929688,2023-08-28 03:45:00+00:00,980.0999755859375,stop_gap,927.4950247628349,985.0,989.450012,True,0.0034903121205413458,0.08114522654147853,-0.03926361489522007,-0.22847278918457503,2,AXISBANK
