label,n_trades,win_rate,expectancy_r,median_r,avg_win_r,avg_loss_r,profit_factor,max_dd_r,avg_hold_days,med_hold_days,avg_ret_pct,med_ret_pct,worst_ret_pct,strat_avg_total_pct,bh_avg_total_pct,beat_bh,strat_avg_dd,bh_avg_dd
B stop-first (pessimistic),625,69.6,0.22462561745292836,0.1395996240228034,0.7133277400525744,-0.8942450316567874,1.8262836596832666,-10.404054227146563,28.8352,6.0,1.6611709406518589,0.9361021897946298,-18.400938277854074,30.748425128231773,233.82742074395273,2,-24.3584865251125,-53.448484848028684
B target-first (optimistic),625,69.6,0.2267967468017131,0.1395996240228034,0.7164471787720926,-0.8942450316567874,1.834270142811512,-10.404054227146563,28.8352,6.0,1.6700931837412987,0.9361021897946298,-18.400938277854074,30.921070843053595,233.82742074395273,2,-24.29540779277517,-53.448484848028684
B trend exit at signal close,625,69.6,0.22375359076280693,0.1395996240228034,0.7119941538679394,-0.8940603300305225,1.8232459531413698,-10.404054227146563,28.7936,6.0,1.658097709763406,0.9361021897946298,-18.400938277854074,30.67128800073937,233.82742074395273,2,-24.343308335230013,-53.448484848028684
B entry bar inactive,625,69.6,0.22462561745292836,0.1395996240228034,0.7133277400525744,-0.8942450316567874,1.8262836596832666,-10.404054227146563,28.8352,6.0,1.6611709406518589,0.9361021897946298,-18.400938277854074,30.748425128231773,233.82742074395273,2,-24.3584865251125,-53.448484848028684
A base stop-first,229,34.93449781659388,1.8864088794972906,-1.0,7.245260317606787,-0.9908267919708948,3.9260874708592657,-9.018263785642318,173.73799126637556,74.0,12.749400719720228,-3.9973238677735834,-15.56308853915571,90.89030593748154,233.82742074395273,9,-32.93014342389164,-53.448484848028684
A target-first,229,34.93449781659388,1.8864088794972906,-1.0,7.245260317606787,-0.9908267919708948,3.9260874708592657,-9.018263785642318,173.73799126637556,74.0,12.749400719720228,-3.9973238677735834,-15.56308853915571,90.89030593748154,233.82742074395273,9,-32.93014342389164,-53.448484848028684
