label,n_trades,win_rate,expectancy_r,median_r,avg_win_r,avg_loss_r,profit_factor,max_dd_r,avg_hold_days,med_hold_days,avg_ret_pct,med_ret_pct,worst_ret_pct,strat_avg_total_pct,bh_avg_total_pct,beat_bh,strat_avg_dd,bh_avg_dd
A: deployed baseline (no target),229,34.93449781659388,1.8864088794972906,-1.0,7.245260317606787,-0.9908267919708948,3.9260874708592657,-9.018263785642318,173.73799126637556,74.0,12.749400719720228,-3.9973238677735834,-15.56308853915571,90.89030593748154,233.82742074395273,9,-32.93014342389164,-53.448484848028684
B: NEW staged T1/T2 liquidity,625,69.6,0.22462561745292836,0.1395996240228034,0.7133277400525744,-0.8942450316567874,1.8262836596832666,-10.404054227146563,28.8352,6.0,1.6611709406518589,0.9361021897946298,-18.400938277854074,30.748425128231773,233.82742074395273,2,-24.3584865251125,-53.448484848028684
C: T1/T2 no breakeven move,540,62.40740740740741,0.2858842680416897,0.2268990294483961,0.9559662674431127,-0.826517868895648,1.9201014854582013,-8.415206614790417,42.94259259259259,10.0,2.0349878910200636,1.483574284493383,-18.400938277854063,31.374093000003203,233.82742074395273,3,-24.564364163807596,-53.448484848028684
D: full exit at T1 (no runner),625,74.08,0.14879820801995386,0.1743278066371433,0.5634897309671375,-1.0364004038599601,1.5539048020752975,-10.624648643572511,28.8352,6.0,1.3394979833709737,1.0663092892938542,-18.400938277854063,24.266938791537587,233.82742074395273,2,-23.257038647597895,-53.448484848028684
E: daily internal/external,821,68.08769792935443,0.09308972534499478,0.11832818763109768,0.5415513995965962,-0.8637426254437273,1.3377219298601533,-12.541322096468164,16.37880633373934,5.0,0.5656064046271023,0.7344632768361503,-60.07751937984496,12.762494811698,233.82742074395273,2,-26.45063427133404,-53.448484848028684
