label,n_trades,win_rate,expectancy_r,median_r,avg_win_r,avg_loss_r,profit_factor,max_dd_r,avg_hold_days,med_hold_days,avg_ret_pct,med_ret_pct,worst_ret_pct,strat_avg_total_pct,bh_avg_total_pct,beat_bh,strat_avg_dd,bh_avg_dd
A: deployed baseline,229,34.93449781659388,1.8864088794972906,-1.0,7.245260317606787,-0.9908267919708948,3.9260874708592657,-9.018263785642318,173.73799126637556,74.0,12.749400719720228,-3.9973238677735834,-15.56308853915571,90.89030593748154,233.82742074395273,9,-32.93014342389164,-53.448484848028684
B: targets as-designed,625,69.6,0.22462561745292836,0.1395996240228034,0.7133277400525744,-0.8942450316567874,1.8262836596832666,-10.404054227146563,28.8352,6.0,1.6611709406518589,0.9361021897946298,-18.400938277854074,30.748425128231773,233.82742074395273,2,-24.3584865251125,-53.448484848028684
min 1R to T1,373,46.64879356568365,0.8600324769678093,-1.0,2.998480267176761,-1.0097660933656454,2.5964297905235614,-9.463517404680076,92.14477211796246,31.0,5.769770523110761,-2.9835672819568226,-24.387921273796266,68.54441350292814,233.82742074395273,6,-32.50711406258785,-53.448484848028684
min 1.5R to T1,317,45.42586750788644,1.16252548615505,-1.0,3.762019198393508,-1.0012149448411227,3.127591851124386,-9.179162174192143,115.66246056782335,47.0,7.577592136887619,-3.275827728972147,-24.387921273796266,79.15536234833137,233.82742074395273,6,-32.8144875635173,-53.448484848028684
min 2R to T1,282,42.90780141843972,1.3213317963385047,-1.0,4.397486438223463,-0.9905608227178917,3.3364364387942715,-9.179162174192143,133.95035460992906,55.0,8.664332462484657,-3.722821925307013,-24.387921273796266,78.45201505017425,233.82742074395273,8,-33.02337108409155,-53.448484848028684
min 3R to T1,257,37.7431906614786,1.5878025476054218,-1.0,5.846894267128986,-0.9942718073557391,3.5651012361237577,-9.002883110124998,150.5408560311284,68.0,10.799360381935923,-3.852641664076828,-24.387921273796266,90.1449848888172,233.82742074395273,9,-33.13051993925092,-53.448484848028684
min 2R + no BE move,277,42.238267148014444,1.3424891232194105,-1.0,4.5329040990543366,-0.9905018278598785,3.346471484656761,-9.179162174192143,135.68231046931407,59.0,8.755016705713095,-3.819970413278939,-24.387921273796266,78.06994685403735,233.82742074395273,8,-33.029439432357556,-53.448484848028684
min 2R + 1/3 off at T1,282,42.90780141843972,1.341330948090449,-1.0,4.444096031562704,-0.9905608227178917,3.371799810074445,-9.179162174192143,133.95035460992906,55.0,8.854708787678991,-3.722821925307007,-24.387921273796266,79.88218450778245,233.82742074395273,8,-33.06752453788291,-53.448484848028684
