symbol,n,strat_total_pct,bh_total_pct,strat_dd,bh_dd
ASIANPAINT,18,-35.791337375520506,146.38302360170408,-40.459809616815534,-40.684505777885484
AXISBANK,23,34.843032942640704,128.08030189774993,-17.096684632358205,-63.156295771268
BAJAJ-AUTO,16,33.20178696454721,312.0924745012105,-12.956843092444824,-43.28806233553083
BHARTIARTL,13,100.34928478166907,466.25054678947527,-17.372525721480137,-47.46870386913751
BRITANNIA,23,-26.068411014614313,277.4558086096403,-30.184241376266808,-38.03467669796292
CIPLA,19,-5.1071094479655965,168.89059116146674,-22.185625337562385,-44.30736935115219
COALINDIA,24,7.599542409447135,28.05992326486424,-25.96822151923346,-68.21448909378233
DIVISLAB,13,214.22160730871488,501.95987651348577,-19.410282777190158,-59.542976023283614
DRREDDY,25,29.018369930035483,65.36247069046928,-30.009509147299763,-45.63872079519311
EICHERMOT,9,24.688244326434617,281.93376082284914,-20.02442002442002,-61.414189404286915
HCLTECH,23,19.522714924813258,243.327919527243,-19.850499341594873,-48.163001161476004
HDFCBANK,12,-27.171015886184247,138.2774022629827,-50.53838719599748,-41.054975597653865
HINDUNILVR,12,55.11074140240264,136.5069707403407,-26.50473786897951,-32.23820250334122
ICICIBANK,16,23.04208927384337,486.7076421255007,-30.471801770392283,-48.30724656357865
INDUSINDBK,8,72.63078875482508,-13.862584094555164,-17.630155798332815,-85.10664686879595
INFY,20,3.8939263601974528,92.60767875759672,-17.74088490113125,-50.727608548694626
ITC,26,-26.729382755947473,16.928113700158587,-28.490657841442367,-57.007296122565386
KOTAKBANK,12,59.49850953742719,151.6679668442733,-25.29376242766036,-36.49898879089953
LT,21,29.8545183359618,258.0553528298678,-22.79325093824579,-55.64536187881814
M&M,20,28.89276955461537,331.9885012961813,-26.42690801889753,-72.65843302584874
MARUTI,20,-15.329898257113683,195.3928772772349,-20.83322094714767,-59.201420598983226
NESTLEIND,19,8.187007575941196,305.1076827470367,-21.330074152371992,-22.879886443312248
NTPC,15,93.72595958892789,164.53334263392856,-19.396471032366414,-50.802254452233655
ONGC,17,-30.792932817069918,64.52380921144454,-38.05092571457362,-71.54375230582477
POWERGRID,22,57.300547275458015,203.25861935949288,-16.183087501045645,-36.202699754832956
RELIANCE,15,84.8854990335048,446.6597464224809,-35.26839903560963,-45.08835364245187
SBIN,24,18.862358303705683,341.49631446141655,-19.35461077747459,-59.49247890013467
SUNPHARMA,21,84.9305155022075,141.43034522213154,-15.999322978397402,-61.758293009465895
TATASTEEL,15,-9.845609165005875,427.24294510505086,-33.65249499833065,-66.00663115333828
TCS,24,36.472173087925896,76.18945988339982,-12.747742980657717,-56.4622569182336
TECHM,18,27.145587372889104,206.74665985883757,-15.503174349444759,-46.567188924307146
TVSMOTOR,12,70.54229826242802,1186.2080524013907,-38.141682769532245,-67.77912223661488
ULTRACEMCO,18,28.34874966753449,222.77929155313353,-23.901533951747865,-37.656082473394946
WIPRO,21,25.065973540075138,74.0148721037307,-18.063855836356623,-52.83991548639986
YESBANK,11,-18.804019810639417,-90.29803404487045,-22.711222006135102,-97.2588832003211
