label,n_trades,win_rate,expectancy_r,median_r,avg_win_r,avg_loss_r,profit_factor,max_dd_r,avg_hold_days,med_hold_days,avg_ret_pct,med_ret_pct,worst_ret_pct,strat_avg_total_pct,bh_avg_total_pct,beat_bh,strat_avg_dd,bh_avg_dd
"B base (5/5 W, 3/3 D, atr0.1)",625,69.6,0.22462561745292836,0.1395996240228034,0.7133277400525744,-0.8942450316567874,1.8262836596832666,-10.404054227146563,28.8352,6.0,1.6611709406518589,0.9361021897946298,-18.400938277854074,30.748425128231773,233.82742074395273,2,-24.3584865251125,-53.448484848028684
ltf 2/2,845,67.57396449704142,0.15715078147478886,0.1393411437773551,0.6654098022615472,-0.9020313384859374,1.5372804831745157,-17.90459635319919,24.10532544378698,5.0,0.9702825109395897,0.7883041322314099,-18.400938277854063,23.562792761568005,233.82742074395273,2,-27.592402222043734,-53.448484848028684
ltf 4/4,494,69.63562753036437,0.214385757893256,0.11535903618262017,0.7067478361166004,-0.9147646081656137,1.77183108786601,-17.381394396092958,33.96153846153846,7.0,1.629944993771671,0.8763815933725994,-17.948716555373867,22.619741412835502,233.82742074395273,2,-24.777666989144226,-53.448484848028684
ltf 5/5,399,71.9298245614035,0.20435953826509476,0.10657928648592074,0.6291918900332008,-0.884273363140677,1.823309720066259,-12.517759864814634,40.8671679197995,9.0,1.7816520869389563,0.9101581249999935,-19.79701885097479,20.061666453667563,233.82742074395273,2,-24.4260532445443,-53.448484848028684
htf 4/4,623,68.69983948635634,0.2274087150206649,0.1368939439523479,0.7477174921381353,-0.9146023444987061,1.7943798678165184,-11.649230631890681,29.030497592295344,6.0,1.9666783748418795,0.8967827373509429,-18.400938277854063,35.98282687442545,233.82742074395273,2,-24.03417791160692,-53.448484848028684
htf 6/6,620,70.16129032258065,0.20262769262230618,0.138656276135311,0.6682553743034501,-0.8922265859252483,1.761103291701135,-9.538456553622842,29.43064516129032,6.0,1.6302828984844542,0.9270459761014482,-18.400938277854074,29.565266439258085,233.82742074395273,2,-25.135076257938312,-53.448484848028684
atr buf 0.08 (-20%),626,69.6485623003195,0.22732426714538917,0.13939429246596824,0.7168988152757266,-0.8961204854063325,1.8357956884881188,-10.379895503446026,28.766773162939298,6.0,1.667395931753411,0.9217061314988007,-18.320750301045585,30.94907560158357,233.82742074395273,2,-24.28827073380646,-53.448484848028684
atr buf 0.12 (+20%),625,69.6,0.22143620746450382,0.1387981019200918,0.7081950743791618,-0.8929854088927393,1.8157004245893122,-10.428043504533049,28.8624,6.0,1.6501248421126125,0.9361021897946298,-18.48112625466255,30.51082510425943,233.82742074395273,2,-24.447894836748315,-53.448484848028684
atr buf 0.5,608,71.71052631578947,0.2109796304195975,0.13357802821560993,0.6361927919260761,-0.8668862906084535,1.8603071349699793,-7.397892149780212,30.751644736842106,6.0,1.7766273204323981,1.0030954466648478,-20.004697814023586,31.702912720590607,233.82742074395273,3,-25.205268793699144,-53.448484848028684
t1_fraction 0.33,625,68.64,0.2499014205972532,0.1122134219210883,0.7636053416331532,-0.8744811412619364,1.9112598229571638,-10.330522755004584,28.8352,6.0,1.7683952597454895,0.7495485927505818,-18.400938277854063,32.87243873393892,233.82742074395273,2,-24.976061095739194,-53.448484848028684
t1_fraction 0.67,625,71.52,0.19934981430860357,0.15587278526167475,0.656342065547528,-0.9482655581846503,1.7381521237301354,-10.477585699288547,28.8352,6.0,1.5539466215582305,1.038259475251424,-18.400938277854074,28.605998287654383,233.82742074395273,2,-23.837718590464224,-53.448484848028684
min 1R to T1,373,46.64879356568365,0.8600324769678093,-1.0,2.998480267176761,-1.0097660933656454,2.5964297905235614,-9.463517404680076,92.14477211796246,31.0,5.769770523110761,-2.9835672819568226,-24.387921273796266,68.54441350292814,233.82742074395273,6,-32.50711406258785,-53.448484848028684
