symbol,signal_date,entry,risk_pct,t1,baseline_r,sweep_full_r,t1_then_sweep_r,baseline_reason,sweep_full_reason,t1_then_sweep_reason,t1_hit
BRITANNIA,2020-11-27 03:45:00+00:00,3702.5,7.147120596001734,,-1.0,-1.0,-1.0,stop,stop,stop,False
BRITANNIA,2021-11-15 03:45:00+00:00,3751.0,5.962631598091697,4153.0,-1.0,-1.0,-1.0,stop,stop,stop,False
BRITANNIA,2021-12-09 03:45:00+00:00,3623.89990234375,4.482300701669603,3960.0,-1.0,-1.0,-1.0,stop,stop,stop,False
BRITANNIA,2022-08-30 03:45:00+00:00,3730.0,2.712311971511751,3949.35009765625,-1.0,-1.0,-1.0,stop,stop,stop,False
BRITANNIA,2022-11-07 03:45:00+00:00,4140.0,11.06962552804466,,0.851112157586422,1.0561171402248615,0.851112157586422,trend_exit,sweep_reject,trend_exit,False
BRITANNIA,2025-05-12 03:45:00+00:00,5629.5,6.512859528845184,6469.89990234375,-0.10773468864172324,0.6232247178388294,-0.10773468864172324,trend_exit,sweep_reject,trend_exit,False
CIPLA,2018-11-30 03:45:00+00:00,542.0,5.806404801500927,638.2000122070312,-1.0199961169898464,-1.0199961169898464,-1.0199961169898464,stop,stop,stop,False
CIPLA,2019-02-01 03:45:00+00:00,521.0,7.350767662272181,631.9500122070312,-0.07833409589571252,0.496115940672846,-0.07833409589571252,trend_exit,sweep_reject,trend_exit,False
CIPLA,2020-05-22 03:45:00+00:00,640.0,11.972604206630155,,3.3122491488268393,0.3262656922908057,3.3122491488268393,trend_exit,sweep_reject,trend_exit,False
CIPLA,2022-05-31 03:45:00+00:00,994.5,9.301982261253858,,-1.0,-0.04810396865776618,-1.0,stop,sweep_reject,stop,False
CIPLA,2023-10-18 03:45:00+00:00,1210.5,5.478049010564183,,-1.0,-1.0,-1.0,stop,stop,stop,False
CIPLA,2024-05-21 03:45:00+00:00,1450.949951171875,9.522477084255128,,-0.4045839785161518,0.3550071300529404,-0.4045839785161518,trend_exit,sweep_reject,trend_exit,False
CIPLA,2025-10-10 03:45:00+00:00,1559.0,5.572760326882216,1702.050048828125,-1.0,-1.0,-1.0,stop,stop,stop,False
COALINDIA,2017-12-15 03:45:00+00:00,269.95001220703125,3.1546890285334763,292.3500061035156,-1.0,4.47975812655276,3.5550372644124923,stop,sweep_reject,sweep_reject,True
COALINDIA,2018-05-31 03:45:00+00:00,293.0,12.508902249831454,349.95001220703125,-1.0,-0.008184963814662749,-1.0,stop,sweep_reject,stop,False
