symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_be_r,t1t2_be_reason,t1t2_be_hit_t1,t1t2_be_hit_t2,t1t2_be_bars,t1t2_be_open,t1run_be_r,t1run_be_reason,t1run_be_hit_t1,t1run_be_hit_t2,t1run_be_bars,t1run_be_open,t1run_trail_r,t1run_trail_reason,t1run_trail_hit_t1,t1run_trail_hit_t2,t1run_trail_bars,t1run_trail_open
AXISBANK,2017-12-19 03:45:00+00:00,2017-12-20 03:45:00+00:00,553.5,528.0285474504743,4.601888446165434,612.0,daily_swing,612.4000244140625,daily_swing,2.296688808235609,2.3123936218219057,7,0.4868204665577036,-1.0,stop,False,False,40,False,2.3045412150287574,t2,True,True,23,False,0.6483444041178046,stop_after_t1,True,False,40,False,2.3045412150287574,t2,True,True,23,False,1.101232359577039,stop_after_t1,True,False,31,False,1.101232359577039,stop_after_t1,True,False,31,False
AXISBANK,2018-04-10 03:45:00+00:00,2018-04-11 03:45:00+00:00,550.0999755859375,488.6989286150251,11.161797799665637,627.5999755859375,daily_swing,,,1.2621934612403956,,8,0.07003217437256518,-1.0,stop,False,False,11,False,-1.0,stop,False,False,11,False,-1.0,stop,False,False,11,False,-1.0,stop,False,False,11,False,-1.0,stop,False,False,11,False,-1.0,stop,False,False,11,False
AXISBANK,2018-07-09 03:45:00+00:00,2018-07-10 03:45:00+00:00,527.9500122070312,497.5903566632952,5.75047918207657,563.5,daily_swing,610.0,prev_month,1.1709614999338689,2.7025994308389882,12,0.7855812313673747,4.306702354104179,trend_exit,False,False,262,False,1.9367804653864287,t2,True,True,22,False,2.738831927019024,trend_exit,True,False,262,False,1.9367804653864287,t2,True,True,22,False,2.738831927019024,trend_exit,True,False,262,False,2.1467630849460013,stop_after_t1,True,False,46,False
AXISBANK,2021-01-05 03:45:00+00:00,2021-01-06 03:45:00+00:00,662.0,566.6400242396763,14.40483017527548,760.7000122070312,daily_swing,,,1.035025558889637,,15,0.5374372171487437,0.19924501708929032,trend_exit,False,False,216,False,0.6171352879894637,trend_exit,True,False,216,False,0.6171352879894637,trend_exit,True,False,216,False,0.4598365902873924,stop_after_t1,True,False,64,False,0.4598365902873924,stop_after_t1,True,False,64,False,0.8242452399638576,stop_after_t1,True,False,46,False
AXISBANK,2022-11-25 03:45:00+00:00,2022-11-28 03:45:00+00:00,887.7000122070312,839.7732138497489,5.398985884671222,,,,,,,2,0.6729011973548553,-1.0,stop,False,False,46,False,-1.0,stop,False,False,46,False,-1.0,stop,False,False,46,False,-1.0,stop,False,False,46,False,-1.0,stop,False,False,46,False,-1.0,stop,False,False,46,False
AXISBANK,2023-04-03 03:45:00+00:00,2023-04-05 03:45:00+00:00,871.0,824.3692722865513,5.353700081911442,939.7000122070312,daily_swing,970.0,daily_swing,1.4732777199875788,2.123063586062107,10,0.06969653186567523,4.42412243908916,trend_exit,False,False,423,False,1.798170653024843,t2,True,True,41,False,2.9487000795383693,trend_exit,True,False,423,False,1.798170653024843,t2,True,True,41,False,2.9487000795383693,trend_exit,True,False,423,False,1.6169594083932435,stop_after_t1,True,False,65,False
AXISBANK,2026-01-06 03:45:00+00:00,2026-01-07 03:45:00+00:00,1293.0,1217.3735717773438,5.848911695487715,,,,,,,3,0.6168481774217534,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False
AXISBANK,2026-04-06 03:45:00+00:00,2026-04-07 03:45:00+00:00,1237.800048828125,1160.9764273507255,6.206464569954692,1384.699951171875,prev_month,1405.699951171875,daily_swing,1.9121710161368286,2.1855244404631984,6,0.28897298441477337,-0.13667671216318497,open_at_end,False,False,77,True,0.8877471519868219,open_at_end,True,False,77,True,0.8877471519868219,open_at_end,True,False,77,True,0.9560855080684143,stop_after_t1,True,False,26,False,0.9560855080684143,stop_after_t1,True,False,26,False,1.0485046813564924,stop_after_t1,True,False,23,False
BAJAJ-AUTO,2017-12-19 03:45:00+00:00,2017-12-20 03:45:00+00:00,3318.85009765625,3094.2541887555803,6.767280904289043,,,,,,,2,0.2446614074176093,-1.3973989962348519,stop,False,False,32,False,-1.3973989962348519,stop,False,False,32,False,-1.3973989962348519,stop,False,False,32,False,-1.3973989962348519,stop,False,False,32,False,-1.3973989962348519,stop,False,False,32,False,-1.3973989962348519,stop,False,False,32,False
BAJAJ-AUTO,2019-07-01 03:45:00+00:00,2019-07-02 03:45:00+00:00,2919.0,2779.2603585379466,4.787243626654794,3077.949951171875,daily_swing,3468.35009765625,daily_swing,1.1374721554229703,3.931240211500235,12,1.1374721554229703,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False,-1.0,stop,False,False,4,False
