symbol,signal_date,entry_date,entry,stop,risk_pct,t1,t1_kind,t2,t2_kind,t1_r,t2_r,n_pool,nearest_pool_r,baseline_r,baseline_reason,baseline_hit_t1,baseline_hit_t2,baseline_bars,baseline_open,t1run_r,t1run_reason,t1run_hit_t1,t1run_hit_t2,t1run_bars,t1run_open,t1t2_r,t1t2_reason,t1t2_hit_t1,t1t2_hit_t2,t1t2_bars,t1t2_open
KOTAKBANK,2022-09-23 03:45:00+00:00,2022-09-26 03:45:00+00:00,367.20001220703125,398.3120027814593,8.472764035989947,306.9599914550781,prev_month,269.4700012207031,daily_swing,1.9362316470186376,3.1412329838726434,56,0.15878130425594175,-1.0,stop,False,False,36,False,-1.0,stop,False,False,36,False,-1.0,stop,False,False,36,False
KOTAKBANK,2022-12-12 03:45:00+00:00,2022-12-13 03:45:00+00:00,372.75,392.89364842006137,5.404063962457778,342.3900146484375,daily_swing,306.9599914550781,prev_month,1.5071741086051982,3.266042336173848,60,0.21594926662755826,-1.0,stop,False,False,96,False,0.2535870543025991,stop_after_t1,True,False,96,False,0.2535870543025991,stop_after_t1,True,False,96,False
KOTAKBANK,2023-06-08 03:45:00+00:00,2023-06-09 03:45:00+00:00,372.3999938964844,413.72843257359096,11.097862340082264,306.9599914550781,prev_month,246.1199951171875,daily_swing,1.5834133719079009,3.055523093091059,56,0.6232991149098579,0.003871514802663164,trend_exit,False,False,264,False,0.003871514802663164,trend_exit,False,False,264,False,0.003871514802663164,trend_exit,False,False,264,False
KOTAKBANK,2025-08-28 03:45:00+00:00,2025-08-29 03:45:00+00:00,390.0400085449219,408.5045593261719,4.734014556643464,344.75,daily_swing,320.489990234375,daily_swing,2.452808577986745,3.766678059732276,64,0.16464026560607573,-1.0,stop,False,False,13,False,-1.0,stop,False,False,13,False,-1.0,stop,False,False,13,False
KOTAKBANK,2025-10-31 03:45:00+00:00,2025-11-03 03:45:00+00:00,420.44000244140625,454.0038694109235,7.983033672966178,344.75,daily_swing,308.7699890136719,daily_swing,2.2551037551825583,3.327090216665235,66,0.7859644094874656,1.0633459629017101,open_at_end,False,False,181,True,1.0633459629017101,open_at_end,False,False,181,True,1.0633459629017101,open_at_end,False,False,181,True
LT,2020-05-07 03:45:00+00:00,2020-05-08 03:45:00+00:00,833.0,920.1039162772042,10.456652614310233,661.0,daily_swing,,,1.9746528899184952,,5,0.8059340521914413,-1.0,stop,False,False,14,False,-1.0,stop,False,False,14,False,-1.0,stop,False,False,14,False
LT,2020-07-14 03:45:00+00:00,2020-07-15 03:45:00+00:00,918.0499877929688,966.7582397460938,5.305620892193649,791.7000122070312,daily_swing,762.7999877929688,daily_swing,2.59401580881063,3.1873449318075875,10,0.9043639635304673,-1.0,stop,False,False,18,False,-1.0,stop,False,False,18,False,-1.0,stop,False,False,18,False
LT,2020-09-07 03:45:00+00:00,2020-09-08 03:45:00+00:00,936.0,1007.0546556745256,7.5913093669365,791.7000122070312,daily_swing,661.0,daily_swing,2.0308308642568353,3.8702601172211777,15,0.30821378565787705,-1.0,stop,False,False,44,False,-1.0,stop,False,False,44,False,-1.0,stop,False,False,44,False
LT,2022-04-19 03:45:00+00:00,2022-04-20 03:45:00+00:00,1709.949951171875,1861.7396432059152,8.87684998792009,1475.5,daily_swing,1154.0,daily_swing,1.544570965459878,3.66263310585806,38,0.7572974793709738,-1.0,stop,False,False,78,False,0.272285482729939,stop_after_t1,True,False,78,False,0.272285482729939,stop_after_t1,True,False,78,False
LT,2025-04-07 03:45:00+00:00,2025-04-08 03:45:00+00:00,3124.949951171875,3538.1435703822544,13.222407579853538,2420.0,daily_swing,1867.0999755859375,daily_swing,1.706100768252538,3.0442144241958813,72,0.6144816631703011,-1.0,stop,False,False,20,False,-1.0,stop,False,False,20,False,-1.0,stop,False,False,20,False
LT,2026-05-08 03:45:00+00:00,2026-05-11 03:45:00+00:00,3948.0,4147.690713936942,5.05802213619408,3470.0,daily_swing,3288.10009765625,daily_swing,2.3937016928636017,3.3046098605873637,84,0.6630248334209412,-1.0,stop,False,False,25,False,-1.0,stop,False,False,25,False,-1.0,stop,False,False,25,False
M&M,2019-11-19 03:45:00+00:00,2019-11-20 03:45:00+00:00,562.25,597.9914289202009,6.356857077848085,503.1499938964844,daily_swing,,,1.6535434617196467,,7,0.717655258588871,-1.0,stop,False,False,166,False,0.32677173085982336,stop_after_t1,True,False,166,False,0.32677173085982336,stop_after_t1,True,False,166,False
M&M,2025-04-03 03:45:00+00:00,2025-04-04 03:45:00+00:00,2614.949951171875,2900.5535696847096,10.921953530500382,2160.0,prev_month,1623.449951171875,daily_swing,1.5929418315525656,3.4715946708337784,66,0.22741291412929435,-1.0,stop,False,False,10,False,-1.0,stop,False,False,10,False,-1.0,stop,False,False,10,False
M&M,2025-05-30 03:45:00+00:00,2025-06-02 03:45:00+00:00,2976.800048828125,3177.7935198102678,6.751997705095031,2425.0,daily_swing,2160.0,prev_month,2.745363051505039,4.063813838513657,66,0.10846147748780269,-1.0,stop,False,False,14,False,-1.0,stop,False,False,14,False,-1.0,stop,False,False,14,False
M&M,2026-06-01 03:45:00+00:00,2026-06-02 03:45:00+00:00,2913.10009765625,3181.4642333984375,9.212321126833276,2425.0,daily_swing,2001.0,daily_swing,1.8187977924336314,3.398740651889818,68,0.0637197575188577,-1.0,stop,False,False,17,False,-1.0,stop,False,False,17,False,-1.0,stop,False,False,17,False
MARUTI,2019-01-02 03:45:00+00:00,2019-01-03 03:45:00+00:00,7280.0,7966.797140066964,9.434026649271484,6021.0,daily_swing,5041.0,daily_swing,1.833146829757103,3.2600601682495265,21,0.16016374207568018,-0.21833258551117377,trend_exit,False,False,202,False,0.8074071221229646,trend_exit,True,False,202,False,0.8074071221229646,trend_exit,True,False,202,False
MARUTI,2020-05-05 03:45:00+00:00,2020-05-06 03:45:00+00:00,4841.2001953125,5630.951628766741,16.313133140391905,,,,,,,2,1.0637525455088979,-1.0,stop,False,False,16,False,-1.0,stop,False,False,16,False,-1.0,stop,False,False,16,False
MARUTI,2020-06-11 03:45:00+00:00,2020-06-12 03:45:00+00:00,5201.0,5869.91357421875,12.861249263963662,4001.10009765625,daily_swing,,,1.793804085595302,,6,0.7780529733162522,-1.0,stop,False,False,5,False,-1.0,stop,False,False,5,False,-1.0,stop,False,False,5,False
MARUTI,2020-09-21 03:45:00+00:00,2020-09-22 03:45:00+00:00,6675.0,7369.000258091518,10.397007611857946,5201.0,daily_swing,4001.10009765625,daily_swing,2.1239185184937255,3.8528802708184906,14,0.17716159883082713,-1.0,stop,False,False,50,False,-1.0,stop,False,False,50,False,-1.0,stop,False,False,50,False
MARUTI,2023-02-21 03:45:00+00:00,2023-02-22 03:45:00+00:00,8675.5,8908.761983816965,2.68874397806426,8249.150390625,daily_swing,7625.14990234375,daily_swing,1.8277715142367408,4.502877324752733,34,1.2758170212961892,-1.0,stop,False,False,46,False,0.4138857571183704,stop_after_t1,True,False,46,False,0.4138857571183704,stop_after_t1,True,False,46,False
MARUTI,2024-12-18 03:45:00+00:00,2024-12-19 03:45:00+00:00,10888.0,11394.52804827009,4.652167967212428,9737.650390625,daily_swing,9254.150390625,daily_swing,2.2710481942781073,3.225585660961867,53,0.2329584717035856,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False
MARUTI,2025-03-03 03:45:00+00:00,2025-03-04 03:45:00+00:00,11690.0,12908.286635044642,10.421613644522173,9737.650390625,daily_swing,7625.14990234375,daily_swing,1.6025371642556512,3.336530156966961,53,0.18222312681930158,-1.0,stop,False,False,46,False,-1.0,stop,False,False,46,False,-1.0,stop,False,False,46,False
MARUTI,2025-06-30 03:45:00+00:00,2025-07-01 03:45:00+00:00,12450.0,12910.335714285715,3.6974756167527296,11289.0,daily_swing,11059.4501953125,daily_swing,2.5220724005772155,3.020729788139863,58,0.5952177758468191,-1.0,stop,False,False,30,False,-1.0,stop,False,False,30,False,-1.0,stop,False,False,30,False
MARUTI,2026-03-09 03:45:00+00:00,2026-03-10 03:45:00+00:00,13721.0,15260.742857142857,11.221797661561528,11289.0,daily_swing,8960.5498046875,daily_swing,1.5794845150396168,3.091717667809792,62,0.971590803659238,-0.4818986472694884,trend_exit,False,False,81,False,-0.4818986472694884,trend_exit,False,False,81,False,-0.4818986472694884,trend_exit,False,False,81,False
NESTLEIND,2017-03-10 03:45:00+00:00,2017-03-14 03:45:00+00:00,312.3999938964844,319.90047149658204,2.400921173699829,298.11749267578125,daily_swing,287.29998779296875,daily_swing,1.9042122358337747,3.346454378210367,10,1.9042122358337747,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False,-1.0,stop,False,False,9,False
NESTLEIND,2017-05-15 03:45:00+00:00,2017-05-16 03:45:00+00:00,330.79998779296875,350.66451786586214,6.004997220654557,298.11749267578125,daily_swing,,,1.6452689792941626,,14,0.8765611631406325,-1.0,stop,False,False,71,False,-1.0,stop,False,False,71,False,-1.0,stop,False,False,71,False
NESTLEIND,2022-03-28 03:45:00+00:00,2022-03-29 03:45:00+00:00,845.0,920.9409040178572,8.987089232882505,610.0,daily_swing,585.0,daily_swing,3.09451148941736,3.423714839355377,71,0.19422997646343004,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False,-1.0,stop,False,False,8,False
NESTLEIND,2022-05-05 03:45:00+00:00,2022-05-06 03:45:00+00:00,874.989990234375,935.7339050292969,6.942241108226968,768.75,daily_swing,610.0,daily_swing,1.7489816155750382,4.362412121922173,74,0.2056171433227932,-1.0,stop,False,False,50,False,-1.0,stop,False,False,50,False,-1.0,stop,False,False,50,False
NESTLEIND,2024-07-25 03:45:00+00:00,2024-07-26 03:45:00+00:00,1246.300048828125,1325.5301792689731,6.357227580577157,1112.7574462890625,daily_swing,968.2474975585938,daily_swing,1.6855027474524116,3.5094294269415665,85,1.0422180650559023,-1.0,stop,False,False,38,False,-1.0,stop,False,False,38,False,-1.0,stop,False,False,38,False
NESTLEIND,2025-03-04 03:45:00+00:00,2025-03-05 03:45:00+00:00,1055.0,1143.1280596051897,8.353370578690969,894.0,daily_swing,768.75,daily_swing,1.8268869270612986,3.248114179324824,73,0.4493458242850671,-1.0,stop,False,False,12,False,-1.0,stop,False,False,12,False,-1.0,stop,False,False,12,False
NTPC,2018-10-05 03:45:00+00:00,2018-10-08 03:45:00+00:00,134.5,146.57083849225725,8.974601109484945,,,,,,,12,0.362443752586559,2.361062159706727,trend_exit,False,False,461,False,2.361062159706727,trend_exit,False,False,461,False,2.361062159706727,trend_exit,False,False,461,False
NTPC,2021-01-21 03:45:00+00:00,2021-01-22 03:45:00+00:00,96.30000305175781,104.62428414481026,8.64411301064907,83.05000305175781,daily_swing,,,1.5917290456539988,,12,0.1862026323271886,-1.0,stop,False,False,19,False,-1.0,stop,False,False,19,False,-1.0,stop,False,False,19,False
NTPC,2025-05-02 03:45:00+00:00,2025-05-05 03:45:00+00:00,351.0,369.2992976597377,5.213475116734388,307.70001220703125,prev_month,292.79998779296875,daily_swing,2.366210364905852,3.1804505992097987,81,1.4754664633608134,0.060111930193685485,trend_exit,False,False,170,False,0.060111930193685485,trend_exit,False,False,170,False,0.060111930193685485,trend_exit,False,False,170,False
ONGC,2017-08-11 03:45:00+00:00,2017-08-14 03:45:00+00:00,160.3000030517578,170.65178876604352,6.457757652657883,,,,,,,8,0.25599536431828973,-1.0,stop,False,False,25,False,-1.0,stop,False,False,25,False,-1.0,stop,False,False,25,False
ONGC,2018-10-05 03:45:00+00:00,2018-10-08 03:45:00+00:00,149.0,186.19713690621512,24.964521413567194,,,,,,,2,0.10574293286343585,1.5054922141236946,trend_exit,False,False,534,False,1.5054922141236946,trend_exit,False,False,534,False,1.5054922141236946,trend_exit,False,False,534,False
ONGC,2022-06-20 03:45:00+00:00,2022-06-21 03:45:00+00:00,136.10000610351562,167.93643439156668,23.39193744329206,87.75,prev_month,,,1.518700705558183,,26,0.5842365838034864,-0.29525906020093373,trend_exit,False,False,124,False,-0.29525906020093373,trend_exit,False,False,124,False,-0.29525906020093373,trend_exit,False,False,124,False
ONGC,2025-04-04 03:45:00+00:00,2025-04-07 03:45:00+00:00,208.0,255.58449380057198,22.87716048104422,132.89999389648438,daily_swing,64.19999694824219,prev_month,1.5782453506443082,3.0219929133727446,68,0.09141646271885605,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False,-1.0,stop,False,False,45,False
