variant,n,win_rate,expectancy_r,median_r,avg_win_r,avg_loss_r,profit_factor,avg_hold,med_hold,pct_hold_lt5,pct_hold_gt60,mean_ret_pct,median_ret_pct,worst_pct,stop_exit_frac,trades_per_month_per_stock
WEEKLY/DAILY 5-5 wk + 3-3 d (baseline),229,0.3537117903930131,1.8764190239641003,-1.0,7.131347931956058,-0.9995893648693362,3.9045708031881743,256.31877729257644,109.0,0.043668122270742356,0.62882096069869,12.68048909614285,-3.9973238677735723,-15.56308853915571,0.6026200873362445,0.057697152935248165
DAILY-ONLY ext5-5 + int2-2,402,0.38308457711442784,0.32466609304681054,-0.48611415493422827,2.160051932478903,-0.8150493072456987,1.6456950015791594,59.42786069651741,41.0,0.08208955223880597,0.3781094527363184,2.0474861571872833,-2.3675225546785694,-15.55263318513569,0.40049751243781095,0.09542271630335879
DAILY-ONLY ext5-5 + int3-3,250,0.344,0.19956692575152926,-0.41697353717650176,2.0454102975528143,-0.7683753301930472,1.3959235319863816,56.768,41.0,0.084,0.34,1.2371144246100394,-2.4953175384270776,-16.057103380814564,0.36,0.059906545788569826
DAILY-ONLY ext5-5 + int1-1,643,0.3343701399688958,0.35259078866412896,-0.7252752214485387,2.758995299102455,-0.8562339069999834,1.6186510355634536,52.0606531881804,34.0,0.1181959564541213,0.3188180404354588,1.5031503798518913,-2.6137468611077352,-22.868406891895976,0.47433903576982894,0.15258661604176554
DAILY-ONLY ext5-5 + int3-3 (no explicit arm),761,0.4099868593955322,0.36285873958249526,-0.2614472937843619,1.9444382615990905,-0.7361452935337134,1.835434418747577,65.89618922470433,49.0,0.04467805519053877,0.4021024967148489,2.564363199730416,-1.9425182931400387,-60.310076927953915,0.2943495400788436,0.18276427971020295
DAILY-ONLY ext5-5 + int2-2 (no explicit arm),719,0.4019471488178025,0.3526939194932585,-0.3215282420374558,2.048130227265191,-0.7867969943348543,1.7495415543980053,62.2865090403338,45.0,0.06258692628650904,0.38803894297635605,2.1204316347200853,-2.3789649415692837,-60.310076927953915,0.3532684283727399,0.17161952500298364
DAILY-ONLY ext8-8 + int3-3,313,0.3194888178913738,0.4509550167206635,-0.5921983338416316,3.1454748322180306,-0.8140777605081473,1.8140143597565124,81.05111821086263,56.0,0.05750798722044728,0.46006389776357826,2.5856192486188907,-3.129612413777272,-24.387921273796266,0.41533546325878595,0.07639114871461114
"HYBRID weekly-trend + daily ext5-5 agree, int3-3 trigger",180,0.37777777777777777,0.33052348218819944,-0.3465142511714908,2.151527991399711,-0.7750863984045041,1.6853409563246209,59.727777777777774,44.0,0.07777777777777778,0.35,1.7454659820965592,-2.364844274508787,-16.057103380814564,0.3333333333333333,0.04555232190307478
