signal_time,direction,leg1_r,leg2_r,total_r,exit_reason,is_win,session,dow,hour_utc,month,quarter,atr15,atr_trailing_pct,vol_regime,target1_R,target2_R,ob_body_atr_ratio,fvg_size_atr_ratio,bars_zone_to_confirmation_5m,t1_time,exit_time,bars_to_resolution_5m,bars_to_t1_5m
2025-11-05 09:45:00+00:00,bearish,0.4500051843913909,1.1032385165725116,0.7766218504819513,both_targets,True,London,Wednesday,9,2025-11,2025Q4,0.0005332142857142738,0.4605198626777832,medium,0.4500051843913909,1.1032385165725116,0.18895705521517603,0.48098159509206573,39.0,2025-11-05 10:05:00+00:00,2025-11-05 14:00:00+00:00,51.0,4.0
2025-11-11 16:00:00+00:00,bullish,1.0900223292985078,0.4853684334233707,0.7876953813609393,both_targets,True,London/NY overlap,Tuesday,16,2025-11,2025Q4,0.0008114285714285899,0.8519254658385094,high,1.0900223292985078,0.4853684334233707,0.13602391629246546,2.5216741405083622,36.0,2025-11-11 16:05:00+00:00,2025-11-11 16:10:00+00:00,2.0,1.0
2025-11-19 16:00:00+00:00,bearish,0.5420501428117951,0.5487146937480494,0.5453824182799223,both_targets,True,London/NY overlap,Wednesday,16,2025-11,2025Q4,0.0007642857142857094,0.8368742368742369,high,0.5420501428117951,0.5487146937480494,0.4770146024878754,0.6057328285558402,30.0,2025-11-19 16:05:00+00:00,2025-11-19 16:10:00+00:00,2.0,1.0
2025-11-25 16:00:00+00:00,bullish,0.7419149700929477,0.30708828327332266,0.5245016266831352,both_targets,True,London/NY overlap,Tuesday,16,2025-11,2025Q4,0.0013010714285714511,0.9887976101568334,high,0.7419149700929477,0.30708828327332266,0.13461538461539693,1.2788461538462708,45.0,2025-11-25 16:05:00+00:00,2025-11-25 16:10:00+00:00,2.0,1.0
2025-12-12 17:40:00+00:00,bullish,0.11563811675068879,0.8991453567754943,0.5073917367630916,both_targets,True,New York,Friday,17,2025-12,2025Q4,0.0007867857142857458,0.9016432483924745,high,0.11563811675068879,0.8991453567754943,0.019073569482130345,0.7629427792914254,5.0,2025-12-12 17:45:00+00:00,2025-12-15 15:00:00+00:00,832.0,1.0
2025-12-16 11:55:00+00:00,bullish,0.28867756132066563,0.7066137321882664,0.497645646754466,both_targets,True,London,Tuesday,11,2025-12,2025Q4,0.000704642857142858,0.8326673326673326,high,0.28867756132066563,0.7066137321882664,0.3668122270742253,0.2241630276564375,5.0,2025-12-16 12:15:00+00:00,2025-12-16 12:30:00+00:00,7.0,4.0
2025-12-22 16:00:00+00:00,bullish,0.7511039577401133,1.2956543271016376,1.0233791424208754,both_targets,True,London/NY overlap,Monday,16,2025-12,2025Q4,0.0006657142857142537,0.77855536115971,high,0.7511039577401133,1.2956543271016376,,,,2025-12-22 16:05:00+00:00,2025-12-22 16:10:00+00:00,2.0,1.0
2025-12-30 11:40:00+00:00,bearish,0.2603132583277405,1.7074784910654082,0.9838958746965744,both_targets,True,London,Tuesday,11,2025-12,2025Q4,0.0005824999999999461,0.6827970610590322,high,0.2603132583277405,1.7074784910654082,,,,2025-12-30 12:05:00+00:00,2025-12-30 15:35:00+00:00,47.0,5.0
2025-12-31 07:20:00+00:00,bearish,0.035344609946820316,0.9410502398384565,0.4881974248926384,both_targets,True,Asia,Wednesday,7,2025-12,2025Q4,0.00031714285714284126,0.17707549535991973,low,0.035344609946820316,0.9410502398384565,0.2764227642280088,0.7804878048781068,4.0,2025-12-31 07:25:00+00:00,2025-12-31 07:30:00+00:00,2.0,1.0
2026-01-02 07:00:00+00:00,bearish,0.16011934361024213,0.14619592242666216,0.15315763301845214,both_targets,True,Asia,Friday,7,2026-01,2026Q1,0.00031428571428580653,0.17391304347826086,low,0.16011934361024213,0.14619592242666216,0.08421052631444824,0.7789473684193978,15.0,2026-01-02 07:35:00+00:00,2026-01-02 07:40:00+00:00,8.0,7.0
2026-01-06 11:00:00+00:00,bearish,0.0967335164360537,2.5997132542191848,1.3482233853276193,both_targets,True,London,Tuesday,11,2026-01,2026Q1,0.0007253571428571684,0.8536205554113677,high,0.0967335164360537,2.5997132542191848,0.07572115384589764,0.7403846153845597,24.0,2026-01-06 11:05:00+00:00,2026-01-08 13:55:00+00:00,611.0,1.0
2026-01-06 12:45:00+00:00,bearish,0.2704203196927937,1.4055379490620852,0.8379791343774394,both_targets,True,London,Tuesday,12,2026-01,2026Q1,0.000577857142857122,0.664417337139891,medium,0.2704203196927937,1.4055379490620852,0.07572115384589764,0.7403846153845597,45.0,2026-01-06 12:50:00+00:00,2026-01-08 13:55:00+00:00,590.0,1.0
2026-01-06 19:10:00+00:00,bearish,1.071630496237884,1.0290088287738681,1.050319662505876,both_targets,True,New York,Tuesday,19,2026-01,2026Q1,0.0006353571428571499,0.7445482866043613,high,1.071630496237884,1.0290088287738681,,,,2026-01-06 19:15:00+00:00,2026-01-08 13:55:00+00:00,513.0,1.0
2026-01-07 12:10:00+00:00,bearish,0.5866047830850658,0.07219751176425825,0.32940114742466203,both_targets,True,London,Wednesday,12,2026-01,2026Q1,0.0005710714285714584,0.6553311173612887,medium,0.5866047830850658,0.07219751176425825,,,,2026-01-08 01:40:00+00:00,2026-01-08 01:45:00+00:00,163.0,162.0
2026-01-13 15:00:00+00:00,bearish,1.9132444927942738,8.043241773188553,4.978243132991413,both_targets,True,London/NY overlap,Tuesday,15,2026-01,2026Q1,0.0007528571428570949,0.8790552815987542,high,1.9132444927942738,8.043241773188553,0.3918406072105638,0.571157495256111,0.0,2026-01-13 15:20:00+00:00,2026-01-15 13:00:00+00:00,552.0,4.0
2026-01-20 08:00:00+00:00,bullish,0.11041706101330793,0.8833364881065124,0.4968767745599102,both_targets,True,Asia/London overlap,Tuesday,8,2026-01,2026Q1,0.0005828571428570914,0.6901116013495977,high,0.11041706101330793,0.8833364881065124,0.19631901840401209,1.1288343558279734,9.0,2026-01-20 08:10:00+00:00,2026-01-20 08:15:00+00:00,3.0,2.0
