signal_time,direction,leg1_r,leg2_r,total_r,exit_reason,is_win,session,dow,hour_utc,month,quarter,atr15,atr_trailing_pct,vol_regime
2025-07-29 06:30:00+00:00,bearish,0.052239691989278615,0.5556403602503955,0.30394002611983706,both_targets,True,Asia,Tuesday,6,2025-07,2025Q3,0.0005567857142857457,0.42857142857142855,medium
2025-07-29 10:55:00+00:00,bearish,3.356485054277784,0.8679322940783364,2.1122086741780604,both_targets,True,London,Tuesday,10,2025-07,2025Q3,0.0010835714285714376,0.6557377049180327,medium
2025-08-06 12:00:00+00:00,bullish,0.6515176059967518,0.67419701633214,0.6628573111644459,both_targets,True,London,Wednesday,12,2025-08,2025Q3,0.0008510714285714689,0.5511363636363636,medium
2025-08-11 16:00:00+00:00,bearish,1.6063007438379238,1.6879770528465599,1.647138898342242,both_targets,True,London/NY overlap,Monday,16,2025-08,2025Q3,0.0007882142857142631,0.5292368681863231,medium
2025-08-21 16:00:00+00:00,bearish,0.4697986577181679,0.40495961779089845,0.4373791377545332,both_targets,True,London/NY overlap,Thursday,16,2025-08,2025Q3,0.001155000000000033,0.8982002249718786,high
2025-09-02 03:00:00+00:00,bearish,0.2969481304889073,0.50800217364629,0.40247515206759865,both_targets,True,Asia,Tuesday,3,2025-09,2025Q3,0.0005239285714285462,0.343349358974359,medium
2025-09-05 12:10:00+00:00,bullish,0.47395252509161506,1.0315437310817115,0.7527481280866632,both_targets,True,London,Friday,12,2025-09,2025Q3,0.0006014285714285623,0.47588652482269506,medium
2025-09-22 17:00:00+00:00,bullish,0.7713665943600693,1.5812002892264494,1.1762834417932593,both_targets,True,New York,Monday,17,2025-09,2025Q3,0.0007464285714285765,0.6588868940754039,medium
2025-09-25 16:00:00+00:00,bearish,0.8545702020730778,0.8186577321746306,0.8366139671238542,both_targets,True,London/NY overlap,Thursday,16,2025-09,2025Q3,0.0013714285714285948,0.9703562036815683,high
2025-10-05 23:00:00+00:00,bearish,0.05036188612455033,0.05036188612455033,0.05036188612455033,both_targets,True,Off-session (22:00-00:00 UTC gap),Sunday,23,2025-10,2025Q4,0.0005703571428571522,0.4945571499257793,medium
2025-10-07 23:20:00+00:00,bearish,0.9906617945594376,0.21924482338609913,0.6049533089727683,both_targets,True,Off-session (22:00-00:00 UTC gap),Tuesday,23,2025-10,2025Q4,0.0002650000000000073,0.01802914299827118,low
2025-10-09 18:50:00+00:00,bearish,0.9242523520466431,0.8446351082373967,0.8844437301420199,both_targets,True,New York,Thursday,18,2025-10,2025Q4,0.000776428571428551,0.7596495382429552,high
2025-10-21 05:30:00+00:00,bearish,0.0028673247858665503,0.46450661532795334,0.23368697005690994,both_targets,True,Asia,Tuesday,5,2025-10,2025Q4,0.0003878571428571779,0.17714002968827314,low
2025-10-30 16:00:00+00:00,bearish,0.6855963282605299,0.2879709540227412,0.4867836411416355,both_targets,True,London/NY overlap,Thursday,16,2025-10,2025Q4,0.001239642857142953,0.9657387580299786,high
2025-10-31 11:40:00+00:00,bearish,0.7670207790472343,1.505979822275485,1.1365003006613597,both_targets,True,London,Friday,11,2025-10,2025Q4,0.0004907142857143284,0.3933222827373905,medium
2025-10-31 17:20:00+00:00,bearish,0.8559606678673954,0.6406075062065419,0.7482840870369687,both_targets,True,New York,Friday,17,2025-10,2025Q4,0.0009339285714285677,0.8932038834951457,high
2025-11-05 09:45:00+00:00,bearish,0.4500051843913909,1.1032385165725116,0.7766218504819513,both_targets,True,London,Wednesday,9,2025-11,2025Q4,0.0005332142857142738,0.4605198626777832,medium
2025-11-11 16:00:00+00:00,bullish,1.0900223292985078,0.4853684334233707,0.7876953813609393,both_targets,True,London/NY overlap,Tuesday,16,2025-11,2025Q4,0.0008114285714285899,0.8519254658385094,high
2025-11-19 16:00:00+00:00,bearish,0.5420501428117951,0.5487146937480494,0.5453824182799223,both_targets,True,London/NY overlap,Wednesday,16,2025-11,2025Q4,0.0007642857142857094,0.8368742368742369,high
2025-11-25 16:00:00+00:00,bullish,0.7419149700929477,0.30708828327332266,0.5245016266831352,both_targets,True,London/NY overlap,Tuesday,16,2025-11,2025Q4,0.0013010714285714511,0.9887976101568334,high
2025-12-12 17:40:00+00:00,bullish,0.11563811675068879,0.8991453567754943,0.5073917367630916,both_targets,True,New York,Friday,17,2025-12,2025Q4,0.0007867857142857458,0.9016432483924745,high
2025-12-16 11:55:00+00:00,bullish,0.28867756132066563,0.7066137321882664,0.497645646754466,both_targets,True,London,Tuesday,11,2025-12,2025Q4,0.000704642857142858,0.8326673326673326,high
2025-12-22 16:00:00+00:00,bullish,0.7511039577401133,1.2956543271016376,1.0233791424208754,both_targets,True,London/NY overlap,Monday,16,2025-12,2025Q4,0.0006657142857142537,0.77855536115971,high
2025-12-30 11:40:00+00:00,bearish,0.2603132583277405,1.7074784910654082,0.9838958746965744,both_targets,True,London,Tuesday,11,2025-12,2025Q4,0.0005824999999999461,0.6827970610590322,high
2025-12-31 07:20:00+00:00,bearish,0.035344609946820316,0.9410502398384565,0.4881974248926384,both_targets,True,Asia,Wednesday,7,2025-12,2025Q4,0.00031714285714284126,0.17707549535991973,low
2026-01-02 07:00:00+00:00,bearish,0.16011934361024213,0.14619592242666216,0.15315763301845214,both_targets,True,Asia,Friday,7,2026-01,2026Q1,0.00031428571428580653,0.17391304347826086,low
2026-01-06 11:00:00+00:00,bearish,0.0967335164360537,2.5997132542191848,1.3482233853276193,both_targets,True,London,Tuesday,11,2026-01,2026Q1,0.0007253571428571684,0.8536205554113677,high
2026-01-06 12:45:00+00:00,bearish,0.2704203196927937,1.4055379490620852,0.8379791343774394,both_targets,True,London,Tuesday,12,2026-01,2026Q1,0.000577857142857122,0.664417337139891,medium
2026-01-06 19:10:00+00:00,bearish,1.071630496237884,1.0290088287738681,1.050319662505876,both_targets,True,New York,Tuesday,19,2026-01,2026Q1,0.0006353571428571499,0.7445482866043613,high
2026-01-07 12:10:00+00:00,bearish,0.5866047830850658,0.07219751176425825,0.32940114742466203,both_targets,True,London,Wednesday,12,2026-01,2026Q1,0.0005710714285714584,0.6553311173612887,medium
2026-01-13 15:00:00+00:00,bearish,1.9132444927942738,8.043241773188553,4.978243132991413,both_targets,True,London/NY overlap,Tuesday,15,2026-01,2026Q1,0.0007528571428570949,0.8790552815987542,high
2026-01-20 08:00:00+00:00,bullish,0.11041706101330793,0.8833364881065124,0.4968767745599102,both_targets,True,Asia/London overlap,Tuesday,8,2026-01,2026Q1,0.0005828571428570914,0.6901116013495977,high
2026-01-30 16:00:00+00:00,bearish,0.011052864270899949,0.4796943093538182,0.24537358681235907,both_targets,True,London/NY overlap,Friday,16,2026-01,2026Q1,0.0014185714285714912,0.9804841897233202,high
2026-02-09 09:05:00+00:00,bullish,0.10731110747469895,1.0887857308954636,0.5980484191850812,both_targets,True,London,Monday,9,2026-02,2026Q1,0.0009182142857143218,0.872533748701973,high
2026-02-17 04:00:00+00:00,bearish,0.5976608187133002,0.7614035087721072,0.6795321637427036,both_targets,True,Asia,Tuesday,4,2026-02,2026Q1,0.0003571428571428654,0.1897222943161173,low
2026-02-17 07:25:00+00:00,bearish,0.01230516817071146,0.8818703855620079,0.4470877768663597,both_targets,True,Asia,Tuesday,7,2026-02,2026Q1,0.00034000000000005456,0.16303219106957426,low
