params,n_trades_pooled,n_stocks_with_trades,n_stocks_profitable_avg,win_rate_pct,avg_return_pct,median_return_pct,std_return_pct
htf3-3_ltf3-3,225,35,31,45.77777777777778,11.880817919195856,-1.538995514341046,37.585174551787496
htf5-5_ltf5-5,145,35,31,51.724137931034484,18.341782792459174,0.554785020804438,48.87126540962808
htf8-8_ltf8-8,106,35,24,50.943396226415096,15.81337536176145,0.8305581353170277,56.50919320169921
htf8-8_ltf3-3,117,35,28,52.991452991452995,18.689873475789554,2.7361128065321205,60.4171816569487
htf3-3_ltf8-8,132,35,27,52.27272727272727,11.41232064865635,2.700010628665317,34.23806427745389
