signal_time,direction,is_win,total_r,target1_R,target2_R,zone_start_time,ob_direction,ob_body_over_atr,fvg_size_over_atr,confirmation_bars_5m,confirmation_calendar_minutes
2025-07-31 23:20:00+00:00,bearish,False,-1.0,0.6397873857522919,1.2478122771764473,2025-07-31 19:45:00+00:00,bearish,0.09422321929324097,1.1306786315195891,43,215.0
2025-08-01 01:45:00+00:00,bearish,True,0.35259473561857607,0.24952858212995063,0.45566088910720154,2025-08-01 01:30:00+00:00,bearish,0.2791411042943776,0.7586912065441086,3,15.0
2025-08-06 01:05:00+00:00,bearish,False,-0.31382978723407806,0.3723404255318439,6.079173486089005,2025-08-06 00:45:00+00:00,bearish,0.013461538462224221,0.10769230769241346,4,20.0
2025-08-06 12:00:00+00:00,bullish,True,0.5152066664377482,0.5063928665453228,0.5240204663301736,2025-08-06 09:45:00+00:00,bullish,0.4873156342181798,0.4542772861357343,27,135.0
2025-08-11 16:00:00+00:00,bearish,True,0.7517362266746573,0.7330981384100124,0.7703743149393023,2025-08-11 14:00:00+00:00,bearish,0.1273336524655329,1.1594064145522707,24,120.0
2025-08-13 06:40:00+00:00,bullish,True,0.05140507196710234,0.017135023989023966,0.0856751199451807,2025-08-13 06:00:00+00:00,bullish,0.024822695035071066,0.2234042553194978,8,40.0
2025-08-21 16:00:00+00:00,bearish,True,0.3776642765936564,0.4056575974855439,0.3496709557017689,2025-08-21 13:45:00+00:00,bearish,0.3517241379311604,1.9379310344824017,27,135.0
2025-08-25 06:10:00+00:00,bullish,False,-1.0,0.010175527855572684,1.8672093614853866,2025-08-25 06:00:00+00:00,bullish,0.2790697674423088,1.9069767441861265,2,10.0
2025-08-26 00:05:00+00:00,bullish,False,-1.0,0.2419545288649275,1.3510380214260005,2025-08-25 23:45:00+00:00,bullish,0.34339622641496376,3.724528301886188,4,20.0
2025-08-28 03:30:00+00:00,bearish,False,-1.0,0.21558106203286426,2.4509908437273413,2025-08-28 03:15:00+00:00,bearish,0.45500000000038987,0.1866666666668532,3,15.0
2025-09-02 03:00:00+00:00,bearish,True,0.5531597080010354,0.40812393090321436,0.6981954850988564,2025-09-02 00:00:00+00:00,bearish,0.406727828746032,2.0550458715599995,36,180.0
2025-09-02 07:15:00+00:00,bearish,True,0.09168128989595523,0.07832964573633705,0.1050329340555734,2025-09-02 07:00:00+00:00,bearish,0.4425597532773204,0.3130300693915326,3,15.0
2025-09-02 12:30:00+00:00,bearish,True,0.3986322838011023,0.09004131642682367,0.707223251175381,2025-09-02 12:15:00+00:00,bearish,0.005017921146763152,1.1340501792112576,3,15.0
2025-09-03 07:20:00+00:00,bearish,True,0.13353850694040698,0.14755636126011276,0.11952065262070116,2025-09-03 06:30:00+00:00,bearish,0.4022242817426317,0.7784986098237235,10,50.0
2025-09-03 10:25:00+00:00,bearish,False,-1.0,99.04132231402012,88.16528925617295,2025-09-03 06:30:00+00:00,bearish,0.4022242817426317,0.7784986098237235,47,235.0
2025-09-08 05:10:00+00:00,bullish,False,-1.0,7.826086956347126,59.99999999857119,2025-09-08 04:45:00+00:00,bullish,0.03580562659869185,0.26257459505548353,5,25.0
2025-09-08 12:45:00+00:00,bullish,True,0.6230872322125022,0.4480627287819905,0.7981117356430139,2025-09-08 12:15:00+00:00,bullish,0.19901112484564096,0.7441285537699726,6,30.0
2025-09-08 18:15:00+00:00,bullish,True,51.65127020778493,15.68129330252193,87.62124711304794,2025-09-08 18:15:00+00:00,bullish,0.369284876904922,0.6893317702229098,0,0.0
2025-09-15 07:10:00+00:00,bullish,True,0.2554594149155649,0.2389781623402609,0.27194066749086887,2025-09-15 06:45:00+00:00,bullish,0.17319587628849592,0.7072164948454395,5,25.0
2025-09-16 13:30:00+00:00,bullish,True,0.5353822404659134,0.2963430749979571,0.7744214059338698,2025-09-16 13:15:00+00:00,bullish,0.12257327750293857,0.8260373049104492,3,15.0
2025-09-22 17:00:00+00:00,bullish,True,3.7023213472921954,2.4278561675012513,4.9767865270831395,2025-09-22 15:30:00+00:00,bullish,0.023850085179032168,0.34582623509384813,18,90.0
2025-09-23 00:35:00+00:00,bullish,True,0.10827690870882875,0.16343684333408798,0.05311697408356952,2025-09-23 00:30:00+00:00,bullish,0.18229166666704824,1.4218750000003857,1,5.0
2025-09-23 16:20:00+00:00,bullish,False,-1.0,0.5760502241138624,0.05938662104260733,2025-09-23 16:00:00+00:00,bullish,0.2173730591692279,0.6168694922367866,4,20.0
2025-09-25 16:00:00+00:00,bearish,True,0.7715816917728797,0.7881421398223231,0.7550212437234364,2025-09-25 12:30:00+00:00,bearish,0.2806236080179114,4.14699331848549,42,210.0
2025-09-26 00:10:00+00:00,bearish,False,-0.4961973849708834,0.0076052300582332595,0.16790007897742726,2025-09-25 23:15:00+00:00,bearish,0.06505576208162275,0.8977695167280118,11,55.0
2025-09-26 10:20:00+00:00,bearish,False,-1.0,2.513582035494839,4.32452010141355,2025-09-26 10:15:00+00:00,bearish,0.006688963210746339,0.44147157190628783,1,5.0
2025-09-29 06:10:00+00:00,bearish,False,-1.0,1.1408199643493382,1.3352779128180996,2025-09-29 05:15:00+00:00,bearish,0.17312448474864772,0.2539159109641366,11,55.0
2025-09-30 00:35:00+00:00,bearish,False,-0.3408126137053481,0.3183747725893038,4.107034566405554,2025-09-30 00:00:00+00:00,bearish,0.09032258064373799,1.445161290321869,7,35.0
2025-10-01 10:00:00+00:00,bearish,False,-0.4423452190881848,0.11530956182363034,0.7379811956714705,2025-10-01 09:45:00+00:00,bearish,0.3045369794904225,0.5177128651335251,3,15.0
2025-10-02 12:40:00+00:00,bearish,False,-1.0,2.462368188038168,3.4033647267163296,2025-10-02 12:30:00+00:00,bearish,0.3671607753701535,0.7183580387682772,2,10.0
2025-10-03 05:00:00+00:00,bearish,False,-0.28233034571047705,0.4353393085790459,8.924455825870156,2025-10-03 04:15:00+00:00,bearish,0.3800904977377327,0.11613876319741913,9,45.0
2025-10-05 23:00:00+00:00,bearish,True,0.1306116356307636,0.1306116356307636,0.1306116356307636,2025-10-03 21:00:00+00:00,bearish,0.06936416184964019,2.5780346820804327,24,3000.0
2025-10-07 04:45:00+00:00,bearish,True,0.932495275875487,0.09193615395957148,1.7730543977914024,2025-10-07 04:30:00+00:00,bearish,0.08419243986254846,0.5893470790373051,3,15.0
2025-10-07 14:40:00+00:00,bearish,True,0.10522439632168414,0.16101451249223098,0.049434280151137294,2025-10-07 11:00:00+00:00,bearish,0.16630669546478413,0.5593952483801122,44,220.0
2025-10-08 14:55:00+00:00,bearish,False,-1.0,4.488448844886094,6.270627062709014,2025-10-08 14:30:00+00:00,bearish,0.16390243902425294,0.7512195121948971,5,25.0
2025-10-09 14:00:00+00:00,bearish,True,0.12972101923656468,0.022560177258434976,0.23688186121469437,2025-10-09 14:00:00+00:00,bearish,0.38157389635325867,0.408445297504826,0,0.0
2025-10-10 11:30:00+00:00,bearish,False,-0.43203651157225714,0.13592697685548574,0.49106013469626353,2025-10-10 11:30:00+00:00,bearish,0.015774647887427346,0.12619718309871825,0,0.0
2025-10-14 07:00:00+00:00,bearish,True,0.29019684418439384,0.31437991453306613,0.2660137738357216,2025-10-14 07:00:00+00:00,bearish,0.11364789446992911,0.14205986808693824,0,0.0
2025-10-14 11:05:00+00:00,bearish,False,-1.0,0.07253001767535079,0.14221572093210372,2025-10-14 07:30:00+00:00,bearish,0.40222428174240155,0.8174235403152867,43,215.0
2025-10-21 02:05:00+00:00,bearish,False,-0.427282171146548,0.14543565770690403,1.2180236332940093,2025-10-21 02:00:00+00:00,bearish,0.2426095820594483,0.31396534148843686,1,5.0
2025-10-21 05:30:00+00:00,bearish,True,0.28620879947820355,0.0035117644106434694,0.5689058345457636,2025-10-21 02:00:00+00:00,bearish,0.2426095820594483,0.31396534148843686,42,210.0
2025-10-24 01:15:00+00:00,bearish,False,-1.0,0.04690117252904428,2.51987208771088,2025-10-24 00:45:00+00:00,bearish,0.13980028530670344,0.1597717546363592,6,30.0
2025-10-24 04:25:00+00:00,bearish,False,-1.0,0.23038946791017273,6.4816236972015995,2025-10-24 00:45:00+00:00,bearish,0.13980028530670344,0.1597717546363592,44,220.0
2025-10-24 20:05:00+00:00,bullish,True,0.6003338040826247,0.37026575940421014,0.8304018487610394,2025-10-24 19:45:00+00:00,bullish,0.040540540540804686,0.3513513513512401,4,20.0
2025-10-27 18:45:00+00:00,bullish,True,0.2275422798154523,0.17629401859577143,0.2787905410351332,2025-10-27 18:45:00+00:00,bullish,0.3452054794520797,1.7899543378995253,0,0.0
2025-10-28 04:15:00+00:00,bullish,True,0.1034427669941769,0.005591500918640397,0.2012940330697134,2025-10-28 03:45:00+00:00,bullish,0.18527708850305744,0.23159636062907893,6,30.0
2025-10-30 16:00:00+00:00,bearish,True,0.577302046166813,0.8130843555486209,0.341519736785005,2025-10-30 11:30:00+00:00,bearish,0.29838709677363306,0.8951612903223317,42,270.0
2025-10-31 06:55:00+00:00,bearish,False,-0.3538523706895939,0.2922952586208122,3.0926724137916035,2025-10-31 06:45:00+00:00,bearish,0.2692307692306603,1.969635627530793,2,10.0
2025-11-04 00:00:00+00:00,bearish,True,0.5999845910857837,0.4826842328285571,0.7172849493430102,2025-11-03 23:45:00+00:00,bearish,0.2245989304805604,4.641711229946358,3,15.0
2025-11-05 06:35:00+00:00,bearish,False,-1.0,3.0463398253836584,5.584956346536707,2025-11-05 06:30:00+00:00,bearish,0.18895705521517603,0.48098159509206573,1,5.0
2025-11-05 09:45:00+00:00,bearish,True,1.7502592464599185,4.500518492919837,11.033529208449325,2025-11-05 06:30:00+00:00,bearish,0.18895705521517603,0.48098159509206573,39,195.0
2025-11-11 16:00:00+00:00,bullish,True,0.5031340314528985,0.696242915587613,0.31002514731818387,2025-11-11 13:00:00+00:00,bullish,0.13602391629246546,2.5216741405083622,36,180.0
2025-11-12 06:40:00+00:00,bullish,True,0.38564142800971646,1.771282856019433,6.892899176139974,2025-11-12 06:30:00+00:00,bullish,0.38075313807522404,0.7907949790795116,2,10.0
2025-11-12 15:10:00+00:00,bullish,True,6.081730769233688,3.26923076923222,8.894230769235156,2025-11-12 14:45:00+00:00,bullish,0.3790464979402559,0.5685697469100179,5,25.0
2025-11-19 16:00:00+00:00,bearish,True,0.6276479181884842,0.6238130021913809,0.6314828341855875,2025-11-19 13:30:00+00:00,bearish,0.4770146024878754,0.6057328285558402,30,150.0
2025-11-21 09:55:00+00:00,bearish,True,1.6424665966619596,0.3142991635589938,2.970634029764925,2025-11-21 09:00:00+00:00,bearish,0.127594936708757,0.23392405063287855,11,55.0
2025-11-25 16:00:00+00:00,bullish,True,0.546355231704143,0.7728272035174956,0.31988325989079053,2025-11-25 12:15:00+00:00,bullish,0.13461538461539693,1.2788461538462708,45,225.0
2025-11-26 15:05:00+00:00,bullish,True,0.26785020588926584,0.49763033175365406,0.03807008002487763,2025-11-26 14:30:00+00:00,bullish,0.11582213029979642,1.2499138228195292,7,35.0
2025-11-30 23:10:00+00:00,bullish,True,0.1264924169086596,0.11519845111321758,0.1377863827041016,2025-11-30 23:00:00+00:00,bullish,0.2969696969697312,1.6969696969702963,2,10.0
2025-12-01 07:20:00+00:00,bullish,True,0.41874733702595746,0.6060502769492864,0.23144439710262849,2025-12-01 07:00:00+00:00,bullish,0.06554307116089171,0.34082397003733544,4,20.0
2025-12-03 10:00:00+00:00,bullish,True,0.3589080678275133,0.21595315945547414,0.5018629761995524,2025-12-03 10:00:00+00:00,bullish,0.22748815165859562,0.6066350710898689,0,0.0
2025-12-04 07:50:00+00:00,bullish,True,6.559011164271125,3.6842105263135716,9.433811802228679,2025-12-04 07:45:00+00:00,bullish,0.34313725490275254,1.029411764705972,1,5.0
2025-12-10 15:05:00+00:00,bullish,False,-1.0,3.305004721434168,3.116147308781266,2025-12-10 14:45:00+00:00,bullish,0.45287228109299166,0.32794199665372503,4,20.0
2025-12-12 17:40:00+00:00,bullish,False,-0.3475758787717144,0.30484824245657116,2.37035061991671,2025-12-12 17:15:00+00:00,bullish,0.019073569482130345,0.7629427792914254,5,25.0
2025-12-15 01:35:00+00:00,bullish,False,-1.0,1.5229653505231426,2.2562449637382365,2025-12-15 01:30:00+00:00,bullish,0.3522012578619754,1.2033542976932905,1,5.0
2025-12-16 08:05:00+00:00,bullish,True,0.4051946099342924,0.14997462835226774,0.6604145915163171,2025-12-16 08:00:00+00:00,bullish,0.42161204605897584,0.3720106288747571,1,5.0
