signal_time,direction,leg1_r,leg2_r,total_r,exit_reason,is_win,session,dow,hour_utc,month,quarter,atr15,atr_trailing_pct,vol_regime
2025-10-01 10:00:00+00:00,bearish,0.11530956182363034,-1.0,-0.4423452190881848,stop_after_partial,False,London,Wednesday,10,2025-10,2025Q4,0.0011850000000000074,0.9579667644183774,high
2025-10-02 12:40:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,London,Thursday,12,2025-10,2025Q4,0.0006264285714285675,0.5516912815626489,medium
2025-10-03 05:00:00+00:00,bearish,0.4353393085790459,-1.0,-0.28233034571047705,stop_after_partial,False,Asia,Friday,5,2025-10,2025Q4,0.000404999999999957,0.2038743208126624,low
2025-10-05 23:00:00+00:00,bearish,0.1306116356307636,0.1306116356307636,0.1306116356307636,both_targets,True,Off-session (22:00-00:00 UTC gap),Sunday,23,2025-10,2025Q4,0.0005703571428571522,0.4945571499257793,medium
2025-10-07 04:45:00+00:00,bearish,0.09193615395957148,1.7730543977914024,0.932495275875487,both_targets,True,Asia,Tuesday,4,2025-10,2025Q4,0.00039892857142863135,0.20237506185056903,low
2025-10-07 14:40:00+00:00,bearish,0.16101451249223098,0.049434280151137294,0.10522439632168414,both_targets,True,London/NY overlap,Tuesday,14,2025-10,2025Q4,0.0008010714285714744,0.7832219747587231,high
2025-10-08 14:55:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,London/NY overlap,Wednesday,14,2025-10,2025Q4,0.000712499999999989,0.6852347360739479,high
2025-10-09 14:00:00+00:00,bearish,0.022560177258434976,0.23688186121469437,0.12972101923656468,both_targets,True,London/NY overlap,Thursday,14,2025-10,2025Q4,0.0009303571428571951,0.8772597526165556,high
2025-10-10 11:30:00+00:00,bearish,0.13592697685548574,-1.0,-0.43203651157225714,stop_after_partial,False,London,Friday,11,2025-10,2025Q4,0.000633928571428569,0.5757146231986771,medium
2025-10-14 07:00:00+00:00,bearish,0.31437991453306613,0.2660137738357216,0.29019684418439384,both_targets,True,Asia,Tuesday,7,2025-10,2025Q4,0.0007039285714285518,0.6642751113310242,medium
2025-10-14 11:05:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,London,Tuesday,11,2025-10,2025Q4,0.0008157142857142847,0.7941103687206137,high
2025-10-21 02:05:00+00:00,bearish,0.14543565770690403,-1.0,-0.427282171146548,stop_after_partial,False,Asia,Tuesday,2,2025-10,2025Q4,0.00035035714285713837,0.11556545409552091,low
2025-10-21 05:30:00+00:00,bearish,0.0035117644106434694,0.5689058345457636,0.28620879947820355,both_targets,True,Asia,Tuesday,5,2025-10,2025Q4,0.0003878571428571779,0.17714002968827314,low
2025-10-24 01:15:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,Asia,Friday,1,2025-10,2025Q4,0.00027321428571433097,0.0368532955350815,low
2025-10-24 04:25:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,Asia,Friday,4,2025-10,2025Q4,0.0002946428571428683,0.057655954631379965,low
2025-10-24 20:05:00+00:00,bullish,0.37026575940421014,0.8304018487610394,0.6003338040826247,both_targets,True,New York,Friday,20,2025-10,2025Q4,0.00035892857142859135,0.1472117202268431,low
2025-10-27 18:45:00+00:00,bullish,0.17629401859577143,0.2787905410351332,0.2275422798154523,both_targets,True,New York,Monday,18,2025-10,2025Q4,0.0003910714285713895,0.21004453240969817,low
2025-10-28 04:15:00+00:00,bullish,0.005591500918640397,0.2012940330697134,0.1034427669941769,both_targets,True,Asia,Tuesday,4,2025-10,2025Q4,0.00041071428571431187,0.2503711034141514,low
2025-10-30 16:00:00+00:00,bearish,0.8130843555486209,0.341519736785005,0.577302046166813,both_targets,True,London/NY overlap,Thursday,16,2025-10,2025Q4,0.001239642857142953,0.9657387580299786,high
2025-10-31 06:55:00+00:00,bearish,0.2922952586208122,-1.0,-0.3538523706895939,stop_after_partial,False,Asia,Friday,6,2025-10,2025Q4,0.00035285714285712304,0.14492067250769594,low
2025-11-04 00:00:00+00:00,bearish,0.4826842328285571,0.7172849493430102,0.5999845910857837,both_targets,True,Asia,Tuesday,0,2025-11,2025Q4,0.0001921428571428471,0.0009928021841648052,low
2025-11-05 06:35:00+00:00,bearish,-1.0,-1.0,-1.0,stop_before_target1,False,Asia,Wednesday,6,2025-11,2025Q4,0.0002910714285714639,0.053136531365313655,low
2025-11-05 09:45:00+00:00,bearish,4.500518492919837,-1.0,1.7502592464599185,stop_after_partial,True,London,Wednesday,9,2025-11,2025Q4,0.0005332142857142738,0.4605198626777832,medium
2025-11-11 16:00:00+00:00,bullish,0.696242915587613,0.31002514731818387,0.5031340314528985,both_targets,True,London/NY overlap,Tuesday,16,2025-11,2025Q4,0.0008114285714285899,0.8519254658385094,high
2025-11-12 06:40:00+00:00,bullish,1.771282856019433,-1.0,0.38564142800971646,stop_after_partial,True,Asia,Wednesday,6,2025-11,2025Q4,0.000341428571428556,0.1450381679389313,low
2025-11-12 15:10:00+00:00,bullish,3.26923076923222,8.894230769235156,6.081730769233688,both_targets,True,London/NY overlap,Wednesday,15,2025-11,2025Q4,0.0006199999999999698,0.6056166056166056,medium
2025-11-19 16:00:00+00:00,bearish,0.6238130021913809,0.6314828341855875,0.6276479181884842,both_targets,True,London/NY overlap,Wednesday,16,2025-11,2025Q4,0.0007642857142857094,0.8368742368742369,high
2025-11-21 09:55:00+00:00,bearish,0.3142991635589938,2.970634029764925,1.6424665966619596,both_targets,True,London,Friday,9,2025-11,2025Q4,0.0007632142857142739,0.8335312277368796,high
2025-11-25 16:00:00+00:00,bullish,0.7728272035174956,0.31988325989079053,0.546355231704143,both_targets,True,London/NY overlap,Tuesday,16,2025-11,2025Q4,0.0013010714285714511,0.9887976101568334,high
2025-11-26 15:05:00+00:00,bullish,0.49763033175365406,0.03807008002487763,0.26785020588926584,both_targets,True,London/NY overlap,Wednesday,15,2025-11,2025Q4,0.0011871428571428627,0.9777342794225593,high
2025-11-30 23:10:00+00:00,bullish,0.11519845111321758,0.1377863827041016,0.1264924169086596,both_targets,True,Off-session (22:00-00:00 UTC gap),Sunday,23,2025-11,2025Q4,0.00023571428571430734,0.016450648055832504,low
2025-12-01 07:20:00+00:00,bullish,0.6060502769492864,0.23144439710262849,0.41874733702595746,both_targets,True,Asia,Monday,7,2025-12,2025Q4,0.0004053571428571656,0.2966101694915254,low
2025-12-03 10:00:00+00:00,bullish,0.21595315945547414,0.5018629761995524,0.3589080678275133,both_targets,True,London,Wednesday,10,2025-12,2025Q4,0.0005274999999999506,0.5188284518828452,medium
